key word,POS_tag,num of examples (for a full paradigm),source,cosine similarity with the central word,comment
еда ,_NOUN,25929,https://health.mail.ru,1,central cluster word
пища,_NOUN,19038,https://health.mail.ru,0.762,
питье,_NOUN,47249,https://health.mail.ru,0.684,
выпивка,_NOUN,190,https://health.mail.ru,0.657,
кушанье,_NOUN,8,https://health.mail.ru,0.641,
закуска,_NOUN,26,https://health.mail.ru,0.64,
угощение,_NOUN,19,https://health.mail.ru,0.625,
лакомство,_NOUN,34,https://health.mail.ru,0.62,
вкус,_NOUN,2370,https://health.mail.ru,0.363,
ужин,_NOUN,3222,https://health.mail.ru,0.618,
обед,_NOUN,7059,https://health.mail.ru,0.59,
завтрак,_NOUN,3420,https://health.mail.ru,0.617,
кушать,_VERB,18396,https://health.mail.ru,1,central cluster word
есть,_VERB,100000,https://health.mail.ru,0.759,
жрать ,_VERB,48,https://health.mail.ru,0.665,
пить,_VERB,47249,https://health.mail.ru,0.661,
покушать,_VERB,1394,https://health.mail.ru,0.649,
поесть,_VERB,1624,https://health.mail.ru,0.637,
съедать ,_VERB,3271,https://health.mail.ru,0.594,
ужинать,_VERB,308,https://health.mail.ru,0.593,
обедать,_VERB,288,https://health.mail.ru,0.586,
наедаться,_VERB,1139,https://health.mail.ru,0.586,
пищевой,_ADJ,6998,https://health.mail.ru,,
кондитерский,_ADJ,287,https://health.mail.ru,,
мясной,_ADJ,2678,https://health.mail.ru,,
овощной,_ADJ,4160,https://health.mail.ru,,
фруктовый,_ADJ,2727,https://health.mail.ru,,
вкусный,_ADJ,1740,https://health.mail.ru,,
вкусовой,_ADJ,405,https://health.mail.ru,,
