"line num/group num
",Entities,,,,,"mean for entities
 per entry",,Relations,,,,,"mean for relations
 per entry",entry text
,NLP group,,,medical expert group,,,,NLP group,,,medical expert group,,,
,I,II,III,I,II,,,I,II,III,I,II,,
1,9,7,6,11,15,9.60,,2,3,4,10,8,5.4,"сегодня днем я ел картофельный пирог и сильно поперхнулся, он стал поперек горла, перекрыл дыхание <...>. Затрудненного дыхания, я сейчас не испытываю, но в груди побаливает, ощущение что что то мешает и хочется это выкашлять. Так же есть небольшое повышение температуры 37,2 и ощущение что хочется вдохнуть сильнее, как будто вдох недостаточен.. Сам пошел в клинику сделал рентген - все в норме. "
2,4,3,6,6,6,5.00,,2,2,3,3,3,2.6,"Меня мучает кислота во рту, особенно когда я пью чай именно с молоком( после простого чая таких прблем нет), а с недавних пор восле употребления этого напитка стал появляься не только вкус кислоты во рту но и тошнота. что это может быть?"
3,3,3,5,9,10,6.00,,2,1,3,6,7,3.8,"Моему сыну 2,5 года. С 2,2 у него совсем поменялись вкусовые пристрастия. До этого малыш всегда хорошо кушал. А сейчас почти все, что я готовлю, не ест (только творог остался и овсяная каша утром), и новые блюда отказывается пробовать! Просит только сок и конфеты. Естественно, что все эти месяцы он быстро устаёт на прогулке."
4,4,8,4,6,7,5.80,,2,4,3,3,4,3.2,"девушка 22 года заболела острым панкреатитом
ее лечащий врач сказал что это от хорошей горячей закуски и выпивки
это же оскорбление если она непьющая
как можно сним обращаться посоветуйте пожалуйста или на него нужно пожаловаться"
5,3,5,7,6,,5.25,,2,2,4,2,,2.5,"В связи с хроническим гастритом и усталостью вечером после работы мое питание довольно аскетично: вот уже полгода мой ужин представляет собой заваренную кипятком овсянку. Могу съесть так, могу добавить повидло. При этом имею небольшой лишний вес <...> фигура по типу ""груша"", низ, бока - выделяются особо). Вредно ли постоянно ужинать овсянкой?"
6,18,11,13,22,30,18.80,,6,4,4,4,8,5.2,"Мне 21 год. Уже полгода мучает постоянная тошнота. Проходит она только когда появляется чувство голода. Сразу после еды не тошнит, тошнить начинает, когда начинается процесс переваривания пищи. Появилась она внезапно: один раз укачало в машине и с тех пор не проходит. Сначала врачи прописали пропить омепразол по 2 таблетки в день и дюспаталин по 1 таблетке в день. Пила 7 дней. Таблетки помогли примерно на месяц. После второго визита ко врачу прописали омепразол по 2 таблетки в день, мезим по 2 таблетки после еды и маалокс на ночь. Также пила 7 дней. Таблетки не помогли, а от маалокса началась изжога. В обоих случаях врачи не сказали, чем вызвана тошнота, и к другим врачам не направляли. Болей в животе нет, рвоты тоже нет, стул нормальный. В данный момент сижу на диете ( каши, супчики, ничего жирного), но это тоже не помогает."
7,2,,6,7,6,5.25,,1,,3,2,5,2.75,"Подруга попробовала фен в клубе и ей плохо как 4 дня, ничего не может есть, все обратно, только горячий чай пьет. В чём дело и что надо кушать и пить?"
8,4,,5,9,8,6.50,,1,,3,2,6,3,"(Сами роды прошли отлично) ребенок не может нормально наесться уже почти сутки! Так как все что съедает, выходит обратно.Врачи сказали что наглоталась вод и промыли желудок, но ситуация не изменилась. При этом одна рекомендация: заставляй ребенка есть - корми со шприца смесью!"
