Unique Entitity Classes,,,,Unique Relation Classes,,
NLP group,medical expert group,NLP ∪ medical group        ,,NLP group,medical expert group,NLP ∪ medical group        
11,36,42,,11,21,25
блюдо,актор,актор,,has,has,has
болезнь,анамнез,анамнез,,is a,has_not,has_not
качество,болезнь,блюдо,,of,is a,is a
локация,вкус,болезнь,,лечение,not прием пищи,not прием пищи
название операции,возраст,вкус,,мнение,not прием препарата,not прием препарата
препарат,врач,возраст,,отказ от применениия (употребления),анамнез жизни,of
процедура,время,врач,,"применение(употребление, использование)",анамнез заболевания,анамнез жизни
процедура,диагноз,время,,причина и следствие,время действия,анамнез заболевания
симндром,доза,диагноз,,родственники,диагноз,время действия
симптом,доктор,доза,,событие,диагностика,диагноз
человек,еда,доктор,,условная связь (А при условии B),лечение,диагностика
,еда/выпивка,еда,,,локализация,лечение
,жалоба,еда/выпивка,,,мнение,локализация
,заболевание,жалоба,,,назначение препарата,мнение
,значение,заболевание,,,обращение в больницe,обращение в больницe
,инструмент для приготовления пищи,значение,,,обращение к врачу,обращение к врачу
,лекарственное средство,инструмент для приготовления пищи,,,прием пищи,отказ от применениия (употребления)
,лечение,качество,,,приём препарата,прием пищи
,мед. изделие,лекарственное средство,,,причина и следствие,приём препарата
,мед. организация,лечение,,,связь_not,"применение(употребление, использование)"
,мед.тест,локация,,,событие,причина и следствие
,"мнение, оценночное суждение",мед. изделие,,,,родственники
,название накротика,мед. организация,,,,связь_not
,орган,мед.тест,,,,событие
,организация,"мнение,оценночное суждение",,,,условная связь (А при условии B)
,препарат,название накротика,,,,
,профессия,название операции,,,,
,процедура,орган,,,,
,свойство,организация,,,,
,симптом,оценночное суждение,,,,
,симптом-not,препарат,,,,
,событие,профессия,,,,
,состояние,процедура,,,,
,форма выпуска препарата,свойство,,,,
,часть тела,симндром,,,,
,человек,симптом,,,,
,,симптом-not,,,,
,,событие,,,,
,,состояние,,,,
,,форма выпуска препарата,,,,
,,часть тела,,,,
,,человек,,,,
